[0] [99/167] time: 0:04:02.149003, [d_loss: 1.096714, g_loss: 3.526744]
[0] [100/167] time: 0:04:03.772996, [d_loss: 0.751399, g_loss: 2.010301]
[0] [101/167] time: 0:04:05.731056, [d_loss: 0.423629, g_loss: 1.950833]
[0] [102/167] time: 0:04:07.347436, [d_loss: 0.387132, g_loss: 2.590995]
[0] [103/167] time: 0:04:08.927671, [d_loss: 0.505515, g_loss: 2.437098]
[0] [104/167] time: 0:04:10.511549, [d_loss: 0.454017, g_loss: 2.224861]
[0] [105/167] time: 0:04:12.465885, [d_loss: 0.425127, g_loss: 2.120744]
[0] [106/167] time: 0:04:14.081203, [d_loss: 0.475626, g_loss: 2.690643]
[0] [107/167] time: 0:04:15.681427, [d_loss: 0.508529, g_loss: 2.181635]
[0] [108/167] time: 0:04:17.263904, [d_loss: 0.530914, g_loss: 2.113329]
[0] [109/167] time: 0:04:19.174242, [d_loss: 0.410270, g_loss: 2.285816]
[0] [110/167] time: 0:04:20.787997, [d_loss: 0.427648, g_loss: 1.884161]
[0] [111/167] time: 0:04:22.381651, [d_loss: 0.416296, g_loss: 2.015893]
[0] [112/167] time: 0:04:23.983700, [d_loss: 0.343376, g_loss: 1.907112]
[0] [113/167] time: 0:04:25.916400, [d_loss: 0.446532, g_loss: 2.028984]
[0] [114/167] time: 0:04:27.519183, [d_loss: 0.397732, g_loss: 2.363652]
[0] [115/167] time: 0:04:29.090369, [d_loss: 0.443808, g_loss: 2.755819]
[0] [116/167] time: 0:04:30.697720, [d_loss: 0.462231, g_loss: 2.123581]
[0] [117/167] time: 0:04:32.632442, [d_loss: 0.375952, g_loss: 2.283189]
[0] [118/167] time: 0:04:34.217555, [d_loss: 0.445484, g_loss: 1.981043]
[0] [119/167] time: 0:04:35.805307, [d_loss: 0.446070, g_loss: 2.185266]
[0] [120/167] time: 0:04:37.429783, [d_loss: 0.341625, g_loss: 2.209400]
[0] [121/167] time: 0:04:39.399527, [d_loss: 0.476495, g_loss: 3.259068]
[0] [122/167] time: 0:04:41.020756, [d_loss: 0.642622, g_loss: 2.069368]
[0] [123/167] time: 0:04:42.645434, [d_loss: 0.522658, g_loss: 2.529253]
[0] [124/167] time: 0:04:44.293154, [d_loss: 0.483209, g_loss: 2.765120]
[0] [125/167] time: 0:04:46.285403, [d_loss: 0.489490, g_loss: 2.061935]
[0] [126/167] time: 0:04:47.870335, [d_loss: 0.431546, g_loss: 1.913358]
[0] [127/167] time: 0:04:49.449791, [d_loss: 0.458618, g_loss: 1.653499]
[0] [128/167] time: 0:04:51.066518, [d_loss: 0.399117, g_loss: 1.703701]
[0] [129/167] time: 0:04:53.010301, [d_loss: 0.442968, g_loss: 2.133453]
[0] [130/167] time: 0:04:54.608403, [d_loss: 0.401163, g_loss: 1.814721]
[0] [131/167] time: 0:04:56.212228, [d_loss: 0.720212, g_loss: 2.297231]
[0] [132/167] time: 0:04:57.819925, [d_loss: 0.411759, g_loss: 1.887028]
[0] [133/167] time: 0:04:59.786397, [d_loss: 0.379632, g_loss: 2.223474]
[0] [134/167] time: 0:05:01.398207, [d_loss: 0.414515, g_loss: 2.088899]
[0] [135/167] time: 0:05:02.990645, [d_loss: 0.400270, g_loss: 1.972332]
[0] [136/167] time: 0:05:04.606830, [d_loss: 0.452216, g_loss: 2.087928]
[0] [137/167] time: 0:05:06.587425, [d_loss: 0.361170, g_loss: 2.037101]
[0] [138/167] time: 0:05:08.181171, [d_loss: 0.443192, g_loss: 1.813751]
[0] [139/167] time: 0:05:09.798212, [d_loss: 0.397602, g_loss: 1.903961]
[0] [140/167] time: 0:05:11.399647, [d_loss: 0.375651, g_loss: 1.999864]
[0] [141/167] time: 0:05:13.342843, [d_loss: 0.366015, g_loss: 1.629194]
[0] [142/167] time: 0:05:14.946290, [d_loss: 0.437524, g_loss: 1.722846]
[0] [143/167] time: 0:05:16.508865, [d_loss: 0.342870, g_loss: 2.166613]
[0] [144/167] time: 0:05:18.096940, [d_loss: 0.533903, g_loss: 1.884462]
[0] [145/167] time: 0:05:20.002853, [d_loss: 0.399587, g_loss: 2.208173]
[0] [146/167] time: 0:05:21.598614, [d_loss: 0.504557, g_loss: 2.062398]
[0] [147/167] time: 0:05:23.165110, [d_loss: 0.400171, g_loss: 1.774938]
[0] [148/167] time: 0:05:24.739044, [d_loss: 0.516760, g_loss: 2.223941]
[0] [149/167] time: 0:05:26.649953, [d_loss: 0.403364, g_loss: 1.836209]
[0] [150/167] time: 0:05:28.221693, [d_loss: 0.358622, g_loss: 1.578926]
[0] [151/167] time: 0:05:29.795501, [d_loss: 0.404413, g_loss: 1.733774]
[0] [152/167] time: 0:05:31.384785, [d_loss: 0.377676, g_loss: 1.773179]
[0] [153/167] time: 0:05:33.290900, [d_loss: 0.415336, g_loss: 1.793624]
[0] [154/167] time: 0:05:34.869699, [d_loss: 0.356352, g_loss: 1.629367]
[0] [155/167] time: 0:05:36.447002, [d_loss: 0.367065, g_loss: 1.887832]
[0] [156/167] time: 0:05:38.022217, [d_loss: 0.359704, g_loss: 2.116910]
[0] [157/167] time: 0:05:39.949513, [d_loss: 0.473113, g_loss: 2.057680]
[0] [158/167] time: 0:05:41.536833, [d_loss: 0.368646, g_loss: 1.972558]
[0] [159/167] time: 0:05:43.132969, [d_loss: 0.470582, g_loss: 1.776203]
[0] [160/167] time: 0:05:44.703229, [d_loss: 0.385401, g_loss: 1.659565]
[0] [161/167] time: 0:05:46.633429, [d_loss: 0.345390, g_loss: 1.711079]
[0] [162/167] time: 0:05:48.192344, [d_loss: 0.458248, g_loss: 2.695879]
[0] [163/167] time: 0:05:49.759248, [d_loss: 0.417457, g_loss: 2.004408]
[0] [164/167] time: 0:05:51.361054, [d_loss: 0.375320, g_loss: 1.751067]
[0] [165/167] time: 0:05:53.269824, [d_loss: 0.356845, g_loss: 1.865501]
[1] [0/167] time: 0:05:54.850895, [d_loss: 0.349275, g_loss: 1.841142]
[1] [1/167] time: 0:05:56.426654, [d_loss: 0.394203, g_loss: 1.513651]
[1] [2/167] time: 0:05:58.015694, [d_loss: 0.394259, g_loss: 1.923534]
[1] [3/167] time: 0:05:59.597784, [d_loss: 0.358151, g_loss: 1.893529]
[1] [4/167] time: 0:06:01.162041, [d_loss: 0.561339, g_loss: 2.553838]
[1] [5/167] time: 0:06:02.728746, [d_loss: 0.439207, g_loss: 1.958209]
[1] [6/167] time: 0:06:04.309177, [d_loss: 0.411241, g_loss: 1.625569]
[1] [7/167] time: 0:06:05.885111, [d_loss: 0.317869, g_loss: 1.908477]
[1] [8/167] time: 0:06:07.451546, [d_loss: 0.441001, g_loss: 1.615080]
[1] [9/167] time: 0:06:09.019844, [d_loss: 0.343975, g_loss: 1.764949]
[1] [10/167] time: 0:06:10.587750, [d_loss: 0.441800, g_loss: 1.785735]
[1] [11/167] time: 0:06:12.174874, [d_loss: 0.365481, g_loss: 1.933899]
[1] [12/167] time: 0:06:13.753188, [d_loss: 0.409001, g_loss: 1.477086]
[1] [13/167] time: 0:06:15.327748, [d_loss: 0.405843, g_loss: 1.768420]
[1] [14/167] time: 0:06:16.894648, [d_loss: 0.331364, g_loss: 1.681311]
[1] [15/167] time: 0:06:18.470860, [d_loss: 0.387144, g_loss: 1.803670]
[1] [16/167] time: 0:06:20.065985, [d_loss: 0.373972, g_loss: 1.741533]
[1] [17/167] time: 0:06:21.635641, [d_loss: 0.365341, g_loss: 1.741323]
[1] [18/167] time: 0:06:23.203233, [d_loss: 0.367812, g_loss: 2.030020]
[1] [19/167] time: 0:06:24.778614, [d_loss: 0.391090, g_loss: 1.817610]
[1] [20/167] time: 0:06:26.355831, [d_loss: 0.375433, g_loss: 1.797307]
